DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
20 May 2019,1,1343,383,61,Smiths Crinkle Cut  Chips Chicken 170g,2,2.9,1003,YOUNG FAMILIES,Budget
16 May 2019,4,4149,3333,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,1009,NEW FAMILIES,Premium
17 May 2019,7,7215,7176,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,1013,RETIREES,Budget
15 May 2019,19,19272,16686,44,Thins Chips Light&  Tangy 175g,1,3.3,1020,YOUNG SINGLES/COUPLES,Mainstream
18 May 2019,45,45220,41651,22,Thins Chips         Originl saltd 175g,1,3.3,1052,MIDAGE SINGLES/COUPLES,Budget
18 August 2018,54,54305,48301,44,Thins Chips Light&  Tangy 175g,2,6.6,1057,MIDAGE SINGLES/COUPLES,Mainstream
20 May 2019,71,71122,69717,40,Thins Chips Seasonedchicken 175g,1,3.3,1081,MIDAGE SINGLES/COUPLES,Budget
17 May 2019,84,84096,83673,47,Doritos Corn Chips  Original 170g,1,4.4,1104,RETIREES,Mainstream
15 May 2019,97,97033,96478,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,1111,RETIREES,Premium
17 May 2019,109,109028,110346,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9,1120,YOUNG SINGLES/COUPLES,Mainstream
20 May 2019,109,109028,110347,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,1121,OLDER SINGLES/COUPLES,Premium
14 May 2019,110,110013,111797,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,1122,OLDER SINGLES/COUPLES,Budget
19 May 2019,115,115381,118981,29,French Fries Potato Chips 175g,1,3.0,1127,RETIREES,Mainstream
20 August 2018,118,118007,120727,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,1134,RETIREES,Mainstream
16 May 2019,122,122185,125736,110,WW Original Corn    Chips 200g,2,3.8,1142,OLDER FAMILIES,Premium
16 August 2018,128,128231,132121,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,1147,NEW FAMILIES,Premium
18 August 2018,128,128231,132122,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,1149,YOUNG FAMILIES,Mainstream
20 May 2019,130,130108,134125,2,Cobs Popd Sour Crm  &Chives Chips 110g,5,19.0,1152,RETIREES,Budget
15 May 2019,133,133250,137666,30,Doritos Corn Chips  Cheese Supreme 170g,4,17.6,1156,RETIREES,Premium
16 May 2019,149,149225,148901,77,Doritos Corn Chips  Nacho Cheese 170g,1,4.4,1158,OLDER SINGLES/COUPLES,Mainstream
16 May 2019,152,152117,150988,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,1165,YOUNG SINGLES/COUPLES,Budget
20 May 2019,153,153106,152359,30,Doritos Corn Chips  Cheese Supreme 170g,3,13.2,1168,YOUNG SINGLES/COUPLES,Premium
18 May 2019,156,156236,158228,110,WW Original Corn    Chips 200g,2,3.8,1171,RETIREES,Mainstream
15 August 2018,166,166235,168185,44,Thins Chips Light&  Tangy 175g,1,3.3,1181,YOUNG SINGLES/COUPLES,Premium
18 May 2019,167,167405,169222,96,WW Original Stacked Chips 160g,2,3.8,1184,MIDAGE SINGLES/COUPLES,Budget
17 May 2019,168,168219,170719,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,4,15.2,1187,YOUNG FAMILIES,Budget
20 August 2018,169,169267,171363,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,1188,RETIREES,Mainstream
17 August 2018,181,181265,183665,44,Thins Chips Light&  Tangy 175g,2,6.6,1201,OLDER SINGLES/COUPLES,Mainstream
14 May 2019,186,186188,188585,78,Thins Chips Salt &  Vinegar 175g,1,3.3,1203,OLDER FAMILIES,Mainstream
20 August 2018,186,186401,188768,1,Smiths Crinkle Cut  Chips Barbecue 170g,5,14.5,1205,RETIREES,Premium
14 August 2018,196,196121,196172,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8,1218,OLDER SINGLES/COUPLES,Budget
19 May 2019,207,207091,205119,44,Thins Chips Light&  Tangy 175g,1,3.3,1228,MIDAGE SINGLES/COUPLES,Mainstream
17 May 2019,208,208081,206568,61,Smiths Crinkle Cut  Chips Chicken 170g,1,2.9,1232,RETIREES,Mainstream
17 May 2019,222,222209,222693,40,Thins Chips Seasonedchicken 175g,5,16.5,1248,RETIREES,Budget
14 August 2018,225,225242,226134,22,Thins Chips         Originl saltd 175g,1,3.3,1256,YOUNG FAMILIES,Mainstream
17 August 2018,248,248409,250717,27,WW Supreme Cheese   Corn Chips 200g,3,5.7,1278,NEW FAMILIES,Mainstream
19 May 2019,253,253032,253575,47,Doritos Corn Chips  Original 170g,1,4.4,1281,OLDER FAMILIES,Budget
19 May 2019,253,253295,253972,47,Doritos Corn Chips  Original 170g,3,13.2,1282,YOUNG SINGLES/COUPLES,Budget
19 August 2018,262,262237,262645,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,1291,YOUNG SINGLES/COUPLES,Mainstream
20 August 2018,265,265282,263626,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,1293,OLDER SINGLES/COUPLES,Budget
05 September 2018,1,1052,57,44,Thins Chips Light&  Tangy 175g,1,3.3,1307,MIDAGE SINGLES/COUPLES,Budget
27 February 2019,1,1081,93,96,WW Original Stacked Chips 160g,2,3.8,1310,OLDER SINGLES/COUPLES,Budget
19 March 2019,1,1081,94,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9,1312,OLDER SINGLES/COUPLES,Mainstream
25 November 2018,1,1184,216,2,Cobs Popd Sour Crm  &Chives Chips 110g,1,3.8,1314,YOUNG SINGLES/COUPLES,Budget
10 November 2018,1,1307,346,96,WW Original Stacked Chips 160g,2,3.8,1317,OLDER FAMILIES,Premium
01 November 2018,1,1348,390,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,1320,YOUNG SINGLES/COUPLES,Premium
06 April 2019,1,1395,453,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,1326,RETIREES,Mainstream
